Artist,Album,Year,Listened To?,Bought,Want,Don't want
Oliver Nelson,Blues and the Abstract Truth,1961
John Coltrane,My Favorite Things,1961
Cecil Taylor,New York City R&B,1961
Hank Mobley,Workout,1961
Jackie McLean,Bluesnik,1961
Mal Waldron,The Quest,1961
Max Roach,Percussion Bitter Sweet,1961
Ran Blake & Jeanne Lee,The Newest Sound Around,1961
Stan Getz,Focus,1961
Benny Carter,Further Definitions,1961
Art Blakey,Mosaic,1961
Jimmy Giuffre,Fusion,1961
Oliver Nelson,Afro-American Sketches,1961
Wes Montgomery,So Much Guitar,1961
Abbey Lincoln,Straight Ahead,1961
Charles Mingus,Epitaph,1962
Cecil Taylor,Nefertiti,1962
Jimmy Giuffre,Free Fall,1962
Joe Harriott,Abstract,1962
Jackie McLean,Let Freedom Ring,1962
Sonny Rollins,The Bridge,1962
Dexter Gordon,Go,1962
Freddie Hubbard,Artistry,1962
Jimmy Woods,Awakening,1962
George Russell,Stratus Seekers,1962
Oscar Peterson,Night Train,1962
Prince Lasha,The Cry,1962
Sheila Jordan,Portrait,1962
Charles Mingus,The Black Saint And The Sinner Lady,1963
Sun Ra,Cosmic Tones For Mental Therapy,1963
Joe Harriott,Movement,1963
Bill Evans,Conversations with Myself,1963
Thelonious Monk,Criss Cross,1963
Jackie McLean,Destination Out,1963
Stanley Turrentine,Soul Shoutin',1963
Eric Dolphy,Iron Man,1963
Jackie McLean,One Step Beyond,1963
Joe Henderson,Page One,1963
Kai Winding,Solo,1963
Art Blakey,Ugetsu,1963
Lee Morgan,Sidewinder,1963
Donald Byrd,A New Perspective,1963
Chico Hamilton,Man from Two Worlds,1963
Grant Green,Idle Moments,1963
Kenny Burrell,Midnight Blue,1963
John Coltrane,A Love Supreme,1964
Albert Ayler,Spiritual Unity,1964
Eric Dolphy,Out to Lunch,1964
Albert Ayler,New York Eye And Ear Control,1964
Albert Ayler,Witches and Devils,1964
Andrew Hill,Point of Departure,1964
Sam Rivers,Fuchsia Swing Song,1964
Wayne Shorter,Speak No Evil,1964
Herbie Hancock,Empyrean Isles,1964
New York Art Quartet,New York Art Quartet,1964
Albert Ayler,Vibrations,1964
Sun Ra,Other Planes of There,1964
Horace Silver,Song For My Father,1964
Andre Previn,My Fair Lady,1964
Denny Zeitlin,Carnival,1964
Kenny Burrell,Guitar Forms,1964
Ben Webster,Meet You At The Fair,1964
Oscar Peterson,Canadian Suite,1964
Cal Tjader,Soul Sauce,1964
Denny Zeitlin,Cathexis,1964
Randy Weston,African Cookbook,1964
Duke Pearson,Wahoo,1964
Freddie Hubbard,Breaking Point,1964
Joe Henderson,In 'n Out,1964
Tony Scott,Music For Zen Meditation,1964
Joe Henderson,Inner Urge,1964
Larry Young,Into Somethin',1964
Lee Morgan,Search For The new Land,1964
John Coltrane,Crescent,1964
Oscar Peterson,Trio Plus One,1964
Shirley Scott,Blue Flames,1964
Wayne Shorter,Juju,1964
Tony Williams,Life Time,1964
Guenter Hampel,Heartplants,1964
Charles Lloyd,Discovery,1964
John Coltrane,Ascension,1965
Sun Ra,The Magic City,1965
Marion Brown,Quartet,1965
Don Cherry,Complete Communion,1965
Sam Rivers,Contours,1965
Herbie Hancock,Maiden Voyage,1965
Sun Ra,Heliocentric Worlds Vol 2,1965
John Coltrane,Meditations,1965
Milford Graves,Percussion Ensemble,1965
Patty Waters,Sings,1965
Wayne Shorter,The All Seeing Eye,1965
Frank Wright,Trio,1965
Andrew Hill,Compulsion,1965
Ornette Coleman,Chappaqua Suite,1965
Wayne Shorter,Soothsayer,1965
Bobby Hutcherson,Components,1965
New York Art Quartet,Mohawk,1965
Horace Silver,The Cape Verdean Blues,1965
Bobby Hutcherson,Dialogue,1965
Ben Webster,Stormy Weather,1965
Lee Morgan,Cornbread,1965
Prince Lasha,Inside Story,1965
Lee Morgan,The Gigolo,1965
Archie Shepp,Fire Music,1965
Roswell Rudd,Roswell Rudd,1965
Eddie Palmieri,Mozambique,1965
Gabor Szabo,Gypsy,1965
Cecil Taylor,Unit Structures,1966
Roscoe Mitchell,Sound,1966
Don Cherry,Symphony For Improvisers,1966
Cecil Taylor,Conquistador,1966
Alex Schlippenbach,Globe Unity,1966
Archie Shepp,Mama Too Tight,1966
Steve Lacy,The Forest And The Zoo,1966
Steve Lacy,Sortie,1966
Duke Ellington,The Far East Suite,1966
Chick Corea,Tones For Joan's Bones,1966
Sun Ra,Strange Strings,1966
Patty Waters,College Tour,1966
Joseph Jarman,Song For,1966
Guenter Hampel,Assemblage,1966
Joe Harriott,Indo-Jazz Fusions,1966
Bobby Hutcherson,Happenings,1966
Wayne Shorter,Adams' Apple,1966
Bobby Hutcherson,Stick-Up,1966
Charles Lloyd,Dream Weaver,1966
Charles Tyler,First Album,1966
Denny Zeitlin,Zeitgeist,1966
